Zone,goback,Num,IdTrain,NameFee,StStart,NameSt,StFinal,NameSt_L,NameStEng,NameStEng_L,Service
3,1,18,313,ชานเมือง,1001,กรุงเทพ,1036,ชุมทางบ้านภาชี,Bangkok,Ban Phachi Junction,FALSE
3,1,19,317,ชานเมือง,1001,กรุงเทพ,1050,ลพบุรี,Bangkok,Lop Buri,FALSE
3,1,20,9,ด่วนพิเศษ CNR,1001,กรุงเทพ,1222,เชียงใหม่,Bangkok,Chiang Mai,FALSE
3,1,21,305,ชานเมือง,1001,กรุงเทพ,1031,อยุธยา,Bangkok,Ayutthaya,FALSE
3,1,22,11,ด่วนพิเศษ,1001,กรุงเทพ,1222,เชียงใหม่,Bangkok,Chiang Mai,TRUE
3,1,23,13,*ด่วนพิเศษ,1001,กรุงเทพ,1222,เชียงใหม่,Bangkok,Chiang Mai,FALSE
3,1,24,105,เร็ว,1001,กรุงเทพ,1151,ศิลาอาสน์,Bangkok,Sila At ,TRUE
3,1,25,107,เร็ว,1001,กรุงเทพ,1164,เด่นชัย,Bangkok,Den Chai,FALSE
3,1,26,115,เร็ว,1001,กรุงเทพ,1118,พิษณุโลก,Bangkok,Phitsanulok,TRUE
3,1,27,51,ด่วน,1001,กรุงเทพ,1222,เชียงใหม่,Bangkok,Chiang Mai,FALSE
3,2,0,9052,ด่วน,1222,เชียงใหม่,1001,กรุงเทพ,Chiang Mai,Bangkok,TRUE
3,2,1,116,เร็ว,1118,พิษณุโลก,1001,กรุงเทพ,Phitsanulok,Bangkok,TRUE
3,2,2,4,ด่วนพิเศษ,1143,สวรรคโลก,1001,กรุงเทพ,Sawankhalok,Bangkok,TRUE
3,2,3,108,เร็ว,1164,เด่นชัย,1001,กรุงเทพ,Den Chai,Bangkok,FALSE
3,2,4,52,ด่วน,1222,เชียงใหม่,1001,กรุงเทพ,Chiang Mai,Bangkok,FALSE
3,2,5,14,*ด่วนพิเศษ,1222,เชียงใหม่,1001,กรุงเทพ,Chiang Mai,Bangkok,FALSE
3,2,7,314,ชานเมือง,1036,ชุมทางบ้านภาชี,1001,กรุงเทพ,Ban Phachi Junction,Bangkok,FALSE
3,2,8,306,พิเศษชานเมือง,1031,อยุธยา,1001,กรุงเทพ,Ayutthaya,Bangkok,FALSE
3,2,9,316,ชานเมือง,1050,ลพบุรี,1001,กรุงเทพ,Lop Buri,Bangkok,FALSE
3,2,10,302,ชานเมือง,1050,ลพบุรี,1001,กรุงเทพ,Lop Buri,Bangkok,FALSE
3,2,11,10,ด่วนพิเศษ CNR,1222,เชียงใหม่,1001,กรุงเทพ,Chiang Mai,Bangkok,FALSE
3,2,12,318,ชานเมือง,1050,ลพบุรี,1001,กรุงเทพ,Lop Buri,Bangkok,FALSE
3,2,13,208,ธรรมดา,1082,นครสวรรค์,1001,กรุงเทพ,Nakhon Sawan,Bangkok,FALSE
3,2,14,304,ชานเมือง,1050,ลพบุรี,1001,กรุงเทพ,Lop Buri,Bangkok,FALSE
3,2,15,110,เร็ว,1222,เชียงใหม่,1001,กรุงเทพ,Chiang Mai,Bangkok,TRUE
3,2,17,202,ธรรมดา,1118,พิษณุโลก,1001,กรุงเทพ,Phitsanulok,Bangkok,FALSE
3,2,17,212,ธรรมดา,1099,ตะพานหิน,1001,กรุงเทพ,Taphan Hin,Bangkok,FALSE
3,2,18,106,เร็ว,1151,ศิลาอาสน์,1001,กรุงเทพ,Sila At ,Bangkok,TRUE
3,2,19,112,เร็ว,1164,เด่นชัย,1001,กรุงเทพ,Den Chai,Bangkok,FALSE
3,2,20,410,ท้องถิ่น,1151,ศิลาอาสน์,1118,พิษณุโลก,Sila At ,Phitsanulok,FALSE
3,2,21,402,ท้องถิ่น,1118,พิษณุโลก,1050,ลพบุรี,Phitsanulok,Lop Buri,FALSE
3,2,22,408,ท้องถิ่น,1222,เชียงใหม่,1082,นครสวรรค์,Chiang Mai,Nakhon Sawan,FALSE
3,2,23,8,ด่วนพิเศษ,1222,เชียงใหม่,1001,กรุงเทพ,Chiang Mai,Bangkok,FALSE
